Title,Authors,Year of Publication,DOI
ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,Grundy,2023,
GoodIT '23: Proceedings of the 2023 ACM Conference on Information Technology for Social Good,No authors,2023,
PCI '23: Proceedings of the 27th Pan-Hellenic Conference on Progress in Computing and Informatics,Karanikolas,2024,
IDEAS '23: Proceedings of the 27th International Database Engineered Applications Symposium,"Chbeir, Ivanovic",2023,
FAIML '23: Proceedings of the 2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning,No authors,2024,
ICRSA '22: Proceedings of the 2022 5th International Conference on Robot Systems and Applications,No authors,2022,
DEBS '24: Proceedings of the 18th ACM International Conference on Distributed and Event-based Systems,No authors,2024,
"PCCNT '23: Proceedings of the 2023 International Conference on Power, Communication, Computing and Networking Technologies",No authors,2024,
DEAI '24: Proceedings of the 2024 Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial Intelligence,No authors,2024,
IMX '24: Proceedings of the 2024 ACM International Conference on Interactive Media Experiences,"Rostami, McMillan",2024,
PEAI '24: Proceedings of the 2024 International Conference on Power Electronics and Artificial Intelligence,No authors,2024,
SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,"Hong, Lanperne",2023,
UbiComp/ISWC '22 Adjunct: Adjunct Proceedings of the 2022 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2022 ACM International Symposium on Wearable Computers,No authors,2023,
FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,d'Amorim,2024,
ICEGOV '23: Proceedings of the 16th International Conference on Theory and Practice of Electronic Governance,"Getschko, Lindgren",2023,
"MobiHoc '23: Proceedings of the Twenty-fourth International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing","Wu, Subramaniam, Ji",2023,
MuC '23: Proceedings of Mensch und Computer 2023,"Stolze, Loch",2023,
MUM '23: Proceedings of the 22nd International Conference on Mobile and Ubiquitous Multimedia,"Michahelles, Knierim",2023,
Digital Space Economic Transformation Design: An Innovation Ecosystem Approach,Suksa-Ngiam,2023,https://doi.org/10.1145/3628454.3630589
UbiComp/ISWC '23 Adjunct: Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing & the 2023 ACM International Symposium on Wearable Computing,"Tentori, Weibel",2023,
The long road ahead to transition to post-quantum cryptography,LaMacchia,2021,https://doi.org/10.1145/3498706
Academic Mindtrek '22: Proceedings of the 25th International Academic Mindtrek Conference,No authors,2022,
CIBDA '24: Proceedings of the 5th International Conference on Computer Information and Big Data Applications,No authors,2024,
MSIE '23: Proceedings of the 2023 5th International Conference on Management Science and Industrial Engineering,No authors,2023,
EITCE '22: Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,No authors,2023,
ICFET '23: Proceedings of the 2023 9th International Conference on Frontiers of Educational Technologies,No authors,2023,
APNet '22: Proceedings of the 6th Asia-Pacific Workshop on Networking,No authors,2023,
UCC '23: Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing,"Rana, Villari, Fu",2024,
ICMLC '23: Proceedings of the 2023 15th International Conference on Machine Learning and Computing,No authors,2023,
AICCC '23: Proceedings of the 2023 6th Artificial Intelligence and Cloud Computing Conference,No authors,2024,
GNNet '22: Proceedings of the 1st International Workshop on Graph Neural Networking,"Barlet-Ros, Casas",2022,
